TARGET,AMOUNT GRANTED,LOAN OUTSTANDING,CYCLE,AGE,GENDER,DEPENDANTS,HOME YEARS,BUS YEARS,CASHFLOW,COLLATERAL,CF TO LOAN,MOP_PDC,MOP_WALK-IN,MARITAL STATUS,COLL TO LOAN
1.0,150000.0,150000.0,2.0,27.0,0,0.0,25.0,9.0,185748.27,156000.0,1.24,1,0,0,1.04
1.0,200000.0,134214.41,4.0,53.0,0,2.0,5.0,7.0,392289.96,80000.0,1.96,1,0,0,0.4
1.0,300000.0,145949.17,19.0,42.0,0,1.0,18.0,18.0,571285.39,230000.0,1.9,1,0,0,0.7666666666666667
1.0,300000.0,133320.55,5.0,51.0,0,1.0,10.0,10.0,642652.62,320000.0,2.14,1,0,0,1.0666666666666667
0.0,74238.02,67340.36,7.0,48.0,0,4.0,5.0,23.0,359586.74,112000.0,4.84,0,1,0,1.5086609260322406
1.0,100000.0,81463.16,7.0,39.0,0,3.0,22.0,8.0,154167.43,70325.0,1.54,0,1,0,0.70325
1.0,250000.0,173094.32,4.0,39.0,0,3.0,7.0,5.0,358710.51,278000.0,1.43,1,0,1,1.112
1.0,250000.0,238573.42,11.0,45.0,0,6.0,16.0,16.0,340998.61,250000.0,1.36,1,0,1,1.0
1.0,220000.0,158455.92,3.0,33.0,0,2.0,6.0,6.0,366338.2,500000.0,1.67,1,0,1,2.272727272727273
0.0,80000.0,31771.08,4.0,36.0,0,2.0,22.0,10.0,481513.82,70325.0,6.02,1,0,1,0.8790625
1.0,150000.0,114572.56,1.0,50.0,0,1.0,15.0,12.0,358342.0,150000.0,2.39,1,0,1,1.0
1.0,230000.0,131823.78,5.0,44.0,0,2.0,23.0,9.0,285220.5,278000.0,1.24,1,0,1,1.208695652173913
1.0,100000.0,70340.42,6.0,33.0,1,2.0,9.0,3.0,195052.19,150000.0,1.95,1,0,0,1.5
0.0,26500.3,26500.3,2.0,33.0,0,2.0,4.0,3.0,108204.85,75000.0,4.08,0,1,0,2.830156639736154
1.0,100000.0,69127.71,4.0,40.0,1,0.0,38.0,12.0,124617.62,300000.0,1.25,0,1,1,3.0
